municipality,county,base_url,data_tier,verification_status,attempt_count,first_seen_utc,final_url,homepage_status,feasibility,classification_confidence,cadence,rate_limit_policy,retry_policy,vendime_url,vendime_confidence,prokurime_url,prokurime_confidence,konsultime_url,konsultime_confidence,robots_respected,crawl_notes,last_checked_utc,last_seen_utc,last_error_type,cooldown_until_utc,hour_buckets_seen
Krujë,Durrës,https://kruja.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,,OK,B,0.65,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.3,,0.3,,0.3,UNKNOWN,Homepage loads; category landing pages not yet pinned (needs deeper discovery).,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Shijak,Durrës,https://shijak.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,,OK,B,0.65,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.3,,0.3,,0.3,UNKNOWN,Homepage loads; category landing pages not yet pinned (needs deeper discovery).,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Belsh,Elbasan,https://bashkiabelsh.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Cërrik,Elbasan,https://bashkiacerrik.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Elbasan,Elbasan,https://elbasani.gov.al/,Tier 1,UNCHECKED,0,,,UNCHECKED,TBD,,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Gramsh,Elbasan,https://bashkiagramsh.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Librazhd,Elbasan,https://bashkialibrazhd.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Peqin,Elbasan,https://peqini.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Prrenjas,Elbasan,https://bashkiaprrenjas.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Divjakë,Fier,https://bashkiadivjake.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Fier,Fier,https://bashkiafier.gov.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://bashkiafier.gov.al/,OK,B,0.7,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bashkiafier.gov.al/vendimet-e-kryesise-se-kb/,0.6,,0.3,https://bashkiafier.gov.al/konsultimet-publike/,0.8,UNKNOWN,Council decisions appear as monthly posts + a 'Vendime' landing page that links externally to vendime.al; consultation hub page exists. No clear standalone procurement register page found.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Lushnjë,Fier,https://bashkialushnje.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Mallakastër,Fier,https://bashkiamallakaster.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Patos,Fier,https://www.bashkiapatos.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Roskovec,Fier,https://bashkiaroskovec.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Dropull,Gjirokastër,https://www.bashkiadropull.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Gjirokastër,Gjirokastër,https://bashkiagjirokaster.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Këlcyrë,Gjirokastër,https://www.bashkiakelcyre.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Libohovë,Gjirokastër,https://www.bashkialibohove.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Memaliaj,Gjirokastër,https://memaliaj.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Përmet,Gjirokastër,https://bashkiapermet.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Tepelenë,Gjirokastër,https://tepelena.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Devoll,Korçë,https://bashkiadevoll.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Kolonjë,Korçë,https://www.kolonja.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Korçë,Korçë,https://bashkiakorce.gov.al/,Tier 1,CHECKED,1,2026-02-11T00:21:22Z,https://bashkiakorce.gov.al/,OK,B,0.75,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bashkiakorce.gov.al/category/keshilli-bashkiak-2/keshilli-keshilltaret/vendimmarrja/vendimet-aktet/,0.85,,0.2,https://bashkiakorce.gov.al/2025/10/06/konsultim-publik-per-pba-2026-2028/,0.5,UNKNOWN,Clear council decisions archive + project-vendime category; consultations appear as news/posts (no single registry page identified yet). Procurement pages/register not identified from quick scan.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Maliq,Korçë,https://bashkiamaliq.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Pogradec,Korçë,https://bashkiapogradec.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Pustec,Korçë,https://www.bashkiapustec.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Has,Kukës,https://www.bashkiahas.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Kukës,Kukës,https://kukesi.gov.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://kukesi.gov.al/,OK,B,0.7,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://kukesi.gov.al/keshilli-bashkiak/,0.85,,0.3,,0.3,UNKNOWN,Council section contains Vendime/Projekt-Vendime and related pages; no clear procurement or consultation registry page found via quick scan.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Tropojë,Kukës,https://tropoje.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Kurbin,Lezhë,https://bashkiakurbin.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Lezhë,Lezhë,https://lezha.gov.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://lezha.gov.al/,OK,A,0.9,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://lezha.gov.al/vendime-te-keshillit-bashkiak/,0.9,https://lezha.gov.al/drejtoria-juridike/,0.8,https://lezha.gov.al/thirrje-per-konsultim-publik/,0.9,UNKNOWN,"Strong transparency structure: council decisions archive by year, consultation calls page, and procurement registers/links under 'Drejtoria Juridike'.",2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Mirditë,Lezhë,https://bashkiamirdite.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Fushë-Arrëz,Shkodër,https://bashkiafushearrez.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Malësi e Madhe,Shkodër,https://bashkiamalesiemadhe.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Pukë,Shkodër,https://bashkiapuke.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Shkodër,Shkodër,https://www.bashkiashkoder.gov.al/,Tier 1,CHECKED,1,2026-02-11T00:21:22Z,,INTERNAL_ERROR,TBD,0.2,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,Homepage fetch returned INTERNAL_ERROR; re-check later (2–3 attempts across different hours) before classifying feasibility.,2026-02-11T00:21:22Z,,INTERNAL_ERROR,,2026-02-11T00
Vau i Dejës,Shkodër,https://vaudejes.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Kamëz,Tiranë,https://kamza.gov.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://kamza.gov.al/,OK,B,0.7,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://kamza.gov.al/category/mbledhjet-e-keshillit/,0.7,,0.3,https://kamza.gov.al/transparenca/njoftimi-dhe-konsultimi-publik/regjistri-elektronik-per-njoftimet-dhe-konsultimet-publike/,0.9,UNKNOWN,Homepage highlights council meeting items including 'Vendim Nr.' entries; dedicated public consultation registry page exists under 'Transparenca'.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Kavajë,Tiranë,https://kavajajone.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://kavajajone.al/,OK,B,0.6,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://kavajajone.al/notice-category/vendime/,0.65,,0.3,https://kavajajone.al/documents/regjistri-projekt-akteve/,0.8,UNKNOWN,Has registers/documents section including registry for project-acts in public consultation. 'Vendime' appears as a notice category (often meeting notices / agenda). No clear procurement listing found.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Rrogozhinë,Tiranë,https://bashkiarrogozhine.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Tiranë,Tiranë,https://www.tirana.al/,Tier 1,CHECKED,1,2026-02-11T00:21:22Z,https://tirana.al/,OK,A,0.9,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://tirana.al/kategoria-e-publikimit/vendime-keshilli-bashkiak,0.9,,0.3,https://tirana.al/kategori/konsultimi-publik,0.9,UNKNOWN,Found dedicated archives for Council decisions (Vendime) and public consultation registry. Programi i Transparencës exists but no obvious dedicated 'Prokurime' listing.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Vorë,Tiranë,https://bashkiavore.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Delvinë,Vlorë,https://www.bashkiadelvine.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Finiq,Vlorë,https://bfiniq.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Himarë,Vlorë,https://himara.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Konispol,Vlorë,https://www.bashkiakonispol.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Sarandë,Vlorë,https://bashkiasarande.gov.al/,TBD,CHECKED,1,2026-02-11T00:21:22Z,https://bashkiasarande.gov.al/,OK,A,0.85,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bashkiasarande.gov.al/projekt-vendime-te-keshillit-bashkiak/,0.6,https://bashkiasarande.gov.al/transparenca-dhe-llogaridhenia-ekonomiko-financiare,0.85,https://bashkiasarande.gov.al/regjistri-i-projekt-akteve-per-konsultim-publik/,0.9,UNKNOWN,Clear consultation registry page and procurement registers under economic-financial transparency. Council section has project-vendime; a dedicated 'Vendime' page likely exists but not found via quick search.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
Selenicë,Vlorë,https://www.selenica.gov.al/,TBD,UNCHECKED,0,,,UNCHECKED,TBD,,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,,,,,,
Vlorë,Vlorë,https://vlora.gov.al/,Tier 1,CHECKED,1,2026-02-11T00:21:22Z,https://vlora.gov.al/,OK,B,0.65,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.3,https://vlora.gov.al/kontratat-publike/,0.75,https://vlora.gov.al/te-dhenat-e-koordinatorit-per-njoftimin-dhe-konsultimin-publik/,0.6,UNKNOWN,Procurement info available via 'Kontratat Publike' and 'Prokurimi Elektronik'. Link for citizen participation in decision-making returned INTERNAL_ERROR during check; no obvious council decisions archive from homepage.,2026-02-11T00:21:22Z,2026-02-11T00:21:22Z,NONE,,2026-02-11T00
